arquivo,objetivo,crossover,mutacao,valor,geracoes,tempo
function_opt_4.csv,min,ponto_um,0.1,-600.864850777101,100,0.0346
function_opt_4.csv,min,dois_pontos,0.01,-416.3879599775066,100,0.0387
function_opt_4.csv,min,dois_pontos,0.05,-524.398122390737,100,0.0394
function_opt_4.csv,min,dois_pontos,0.1,-641.3297128863798,100,0.04
function_opt_4.csv,min,uniforme,0.01,-387.75677968016635,100,0.0341
function_opt_4.csv,min,uniforme,0.05,-557.0445686955584,100,0.0353
function_opt_4.csv,min,uniforme,0.1,-637.7119591964282,100,0.0356
function_opt_4.csv,max,ponto_um,0.01,400.92723779848313,100,0.0501
function_opt_4.csv,max,ponto_um,0.05,560.2244983839735,100,0.0482
function_opt_4.csv,max,ponto_um,0.1,672.8747922462785,100,0.0371
function_opt_4.csv,max,dois_pontos,0.01,419.9182599352666,100,0.0387
function_opt_4.csv,max,dois_pontos,0.05,603.2916799229714,100,0.038
function_opt_4.csv,max,dois_pontos,0.1,659.8901614001868,100,0.0393
function_opt_4.csv,max,uniforme,0.01,431.5654811854552,100,0.0336
function_opt_4.csv,max,uniforme,0.05,606.9131611506401,100,0.0349
function_opt_4.csv,max,uniforme,0.1,625.1414456127189,100,0.0343
function_opt_5.csv,min,ponto_um,0.01,-596.5018466502916,100,0.0357
function_opt_5.csv,min,ponto_um,0.05,-795.5308025250035,100,0.0354
function_opt_5.csv,min,ponto_um,0.1,-869.0767649338329,100,0.0355
function_opt_5.csv,min,dois_pontos,0.01,-612.8763822906867,100,0.0399
function_opt_5.csv,min,dois_pontos,0.05,-700.0156026782707,100,0.0401
function_opt_5.csv,min,dois_pontos,0.1,-869.4108799725293,100,0.0406
function_opt_5.csv,min,uniforme,0.01,-589.3581330657405,100,0.0343
function_opt_5.csv,min,uniforme,0.05,-783.4569071123973,100,0.0351
function_opt_5.csv,min,uniforme,0.1,-905.3208696528648,100,0.0356
function_opt_5.csv,max,ponto_um,0.01,563.8897075380545,100,0.0356
function_opt_5.csv,max,ponto_um,0.05,744.73001682682,100,0.035
function_opt_5.csv,max,ponto_um,0.1,899.6977382969299,100,0.0357
function_opt_5.csv,max,dois_pontos,0.01,627.9302644467373,100,0.0403
function_opt_5.csv,max,dois_pontos,0.05,783.6200314886727,100,0.0397
function_opt_5.csv,max,dois_pontos,0.1,946.1192031413052,100,0.0397
function_opt_5.csv,max,uniforme,0.01,609.3465899177224,100,0.035
function_opt_5.csv,max,uniforme,0.05,786.5624865062141,100,0.0357
function_opt_5.csv,max,uniforme,0.1,962.2930663815317,100,0.0359
function_opt_6.csv,min,ponto_um,0.01,-347.18897669066763,100,0.0361
function_opt_6.csv,min,ponto_um,0.05,-427.9103308372395,100,0.0445
function_opt_6.csv,min,ponto_um,0.1,-500.8342791355195,100,0.0368
function_opt_6.csv,min,dois_pontos,0.01,-341.3039268107887,100,0.0398
function_opt_6.csv,min,dois_pontos,0.05,-461.78781963928475,100,0.0414
function_opt_6.csv,min,dois_pontos,0.1,-492.77476266425833,100,0.0419
function_opt_6.csv,min,uniforme,0.01,-368.77946992090835,100,0.0364
function_opt_6.csv,min,uniforme,0.05,-408.9585014848859,100,0.037
function_opt_6.csv,min,uniforme,0.1,-519.5657976890406,100,0.0374
function_opt_6.csv,max,ponto_um,0.01,358.49516424712056,100,0.0357
function_opt_6.csv,max,ponto_um,0.05,469.9463289599492,100,0.0371
function_opt_6.csv,max,ponto_um,0.1,516.692860274653,100,0.0367
function_opt_6.csv,max,dois_pontos,0.01,355.93857446558565,100,0.0417
function_opt_6.csv,max,dois_pontos,0.05,494.6942129613635,100,0.0412
function_opt_6.csv,max,dois_pontos,0.1,568.6697191241087,100,0.0407
function_opt_6.csv,max,uniforme,0.01,343.5054642767465,100,0.037
function_opt_6.csv,max,uniforme,0.05,474.37816107552277,100,0.0367
function_opt_6.csv,max,uniforme,0.1,541.6486846989757,100,0.0376
function_opt_7.csv,min,ponto_um,0.01,-502.8558013449582,100,0.0371
function_opt_7.csv,min,ponto_um,0.05,-648.9585097837863,100,0.0381
function_opt_7.csv,min,ponto_um,0.1,-717.6199476112348,100,0.038
function_opt_7.csv,min,dois_pontos,0.01,-481.9618397750146,100,0.0418
